High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3675,3798,2595,3398,2410,2588.1,178.7,6,102.8,3.2,30,204.7,3113.4,19.09,9.14,2.31,84.88,28.7,15.5
3502,3675,2520,3362,2355,2448.8,192.8,3,100.2,5,28.3,241,3019.1,21.08,28.29,3.37,61.38,26.1,13.9
4046,4339,2977,3825,2761,2920.2,101.3,9,149.4,15.4,-23.9,305.8,3477.1,8.95,18.74,2.86,45.13,10.4,0.5
4303,4046,2778,4155,2614,3169.4,96.5,9,33.2,21.8,25.8,309.1,3664.7,9.6,18.71,2.45,67.25,14.4,2.6
3870,4303,3062,3811,2822,2802.1,92.6,9,252.4,11.1,3,247.5,3417.7,10.73,9.22,1.67,75.75,16.8,4.3
4001,3870,2870,3758,2689,2921.6,90.6,9,115.4,6.3,0.7,281.2,3424.7,8.53,6.66,3.15,83.5,16.1,3.5
4139,4001,2826,4038,2677,3083.8,100.4,9,64.9,12.8,2.8,281,3554.8,6.72,19.56,3.99,46.63,14.4,0.3
4037,4139,3063,3988,2868,2840.8,101.5,9,250.3,21.9,53.6,249.5,3526.5,8.84,20.29,3.05,53,17.5,-1.5
3807,4037,2537,3582,2457,2694.6,126.9,9,118.7,25.5,-6.8,247.3,3215.2,11.35,19.19,2.58,52.5,19.8,1.9
3591,3807,2763,3518,2646,2526.1,120.6,9,259.8,26.1,7.8,239.7,3189.1,10.23,19.04,4.2,48.63,18.5,2.9
3674,3591,2728,3642,2612,2514.9,116.9,9,245.5,28.9,25.7,253.9,3194.8,7.63,20.13,3.4,36.75,19.1,-0.5
3891,3674,2897,3834,2773,2686.5,101.8,9,263.2,28.2,26.4,256.7,3371.7,8.39,19.84,2.74,47.5,15.1,-1.2
3761,3891,2961,3679,2817,2670.9,89.5,9,262.5,8.2,-1.6,308.2,3346.8,8.44,14.54,2.75,55.63,15.9,1.7
3800,3761,2685,3714,2578,2558.8,57.4,5,276,8.8,23.5,332.8,3262.3,12.01,16.48,1.92,51.13,15.9,3.3
3586,3800,2790,3501,2653,2527,60.4,5,221,7.4,13.3,349.8,3183.9,13.74,21.6,2.68,47.13,19.2,2.8
3406,3586,2692,3321,2579,2387.7,66.3,5,274.1,5.8,-17.1,329.7,3051.4,15.83,14.83,4.25,71,22.5,6.6
3376,3406,2497,3304,2403,2253.7,95.2,5,219.7,28.2,12.6,333.1,2947.4,6.43,7.07,3.1,54,15.4,1.8
3690,3376,2716,3612,2590,2547.2,84.3,9,255.5,11,1.4,323.1,3231.4,11.22,16.01,2.34,56.25,16.6,3.6
3772,3690,2724,3550,2588,2632.2,83.3,9,162.1,12.2,22.8,300,3221.5,13.48,21.04,4.37,37.63,19.5,2.2
3440,3772,2745,3379,2619,2446.8,76.8,9.8,273,24.4,-13,274.7,3092.5,12.79,16.1,4.7,43.75,22,4.8
3568,3440,2617,3509,2489,2507.3,75.9,9,190.6,24.2,28.3,246.7,3082,7.77,13.02,2.59,51,20,3.5
3843,3568,2733,3747,2594,2786.9,78.5,9,127.5,8,84,251.6,3345.5,8.5,6.33,2.43,75.63,17.2,3.1
3831,3843,2581,3777,2480,2653.9,76.5,7,223,11.3,38.4,220.6,3230.6,6.93,21.51,3.49,49.13,16.2,1.1
3936,3831,2925,3930,2762,2886.9,68.9,6.2,258.8,17.5,-17.2,183.9,3405,6.99,22.54,3.31,40.88,16.8,-1.6
3865,3936,3035,3854,2836,2846.9,64.8,5.7,284.8,16.4,-44.3,240.8,3415.1,9.83,24.83,2.43,43,15.1,-0.8
3619,3865,2988,3592,2814,2667.8,71.3,5.8,295.8,18.9,21.9,181.1,3262.5,14.32,23.9,4.1,42.38,18.5,1.9
3414,3619,2768,3316,2649,2518.8,73.4,5.7,286.2,27.1,29.9,135.6,3076.7,15.37,24.03,3.45,37.75,25,5.8
3774,3414,2315,3696,2252,2742,83.4,5.6,100.7,9,138.2,94.3,3173.1,10.14,23.06,3.85,45.88,19.7,1.2
3619,3774,2810,3606,2673,2780.3,79.1,5.6,291.8,18,-182.7,198.8,3190.8,5.16,2.52,2.58,85.63,18.2,0.6
4313,3619,2783,4239,2632,2946.2,104.1,5.6,30.1,9.8,176.5,397.5,3669.9,9.75,23.41,5.09,59.38,10.9,3.2
3813,4313,3079,3784,2805,2849.7,84.5,5.6,259.7,20.2,-124.3,253,3348.5,8.75,12.89,2.21,53.25,17.6,1.7
3809,3813,2857,3748,2696,2837.8,85,5.6,149.5,6.8,-116.9,390.8,3358.6,11.18,26.42,2.81,45.75,20.1,1.8
3353,3809,2387,3326,2299,2262.2,87.2,5.5,274.2,25,-6.8,270.5,2917.8,14.26,27.12,3.16,45.75,22.8,2.6
3358,3353,2579,3318,2477,2211.3,96,6.4,333.3,12.2,22.7,300.7,2982.5,14.5,12.8,2.26,62.38,23.5,6.1
3393,3358,2545,3325,2440,2346.9,95.9,7,178.8,6,36.2,311.8,2982.5,16.66,24.59,2.78,60.5,19.6,9.7
3324,3393,2528,3266,2419,2195.9,104,2.8,312.1,4.5,16.3,317.9,2953.5,17.51,20.65,3.02,62.5,25.6,9.6
3365,3324,2509,3222,2410,2205.5,109.5,2.8,272.3,19,15.4,334.5,2959,14.17,26.02,3.61,58.13,24.7,7.9
3400,3365,2276,3265,2194,2114.8,130.3,2.3,294.8,7.6,15.9,339.1,2904.9,18.67,23.12,3.13,56.25,28.8,11.1
3342,3400,2470,3256,2359,2156.9,118.6,2.3,303.6,8.6,1.7,343.3,2935.1,18.3,5.19,3.32,81.38,25.7,14.4
