High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3760,4314,2998,3652,2804,2675,107.7,9,190.9,19,0.8,360.9,3363.2,9.48,16.76,3.65,50.88,22.7,2.5
3957,3760,2812,3880,2703,2695.2,104.2,9,217.5,21.8,7.3,361.3,3416.3,8.46,15.42,2.14,58.88,15.9,-0.6
3913,3957,2999,3748,2850,2697.7,105.1,9,210.9,7.9,17.3,399.4,3447.3,8.27,15.37,4.4,44.38,14.5,0.6
3951,3913,2706,3634,2574,2636,96.4,9,168.9,14.2,-31.3,422.2,3315.4,9.61,11.74,2.81,55.25,19,4.2
3936,3951,2774,3854,2631,2729,98.1,9,133,17.8,25.8,377.7,3390.3,7.31,8.45,1.97,51,15.1,0.4
4082,3936,2925,3972,2774,2890,93.3,9,115,7.7,48.4,397.3,3560.8,7.07,1.93,2.15,87,12.6,4
4339,4082,2950,4130,2766,3149.4,97.8,9,23.2,6.6,41.1,403.5,3730.5,8.98,13.03,1.94,75,10.5,4.6
4182,4179,2746,3914,2564,2907.3,133,35.3,45.9,27.3,11.3,395.2,3555.3,11.18,10.47,2.56,58.63,19.5,3.4
3860,4182,2856,3754,2687,2656.9,142.5,35.3,199.9,20.2,-51.7,363.2,3366.4,8.91,11.43,2.37,55.63,17.7,0.5
3917,3860,2895,3824,2742,2715.8,137,34.6,198.4,17.8,-0.8,332,3434.8,8.27,11.34,2.29,55.25,15.9,0.3
4033,3917,2944,3904,2777,2820.2,130,34.7,186.7,14.2,0.8,322.7,3509.2,7.02,6.82,2.39,53.75,15.2,0.9
4257,4033,2955,4065,2780,3075.5,126.2,34.3,113.3,15,-10.2,317.3,3671.4,5.24,2.33,1.65,70.5,15.3,0.9
4482,4257,2891,4263,2742,3099.8,120.2,34.5,76,7,101.8,368.6,3807.9,10.41,7.17,1.55,81.38,13.4,5.7
4188,4482,3085,3886,2851,2964,119.3,35,103.3,3.7,-13.9,385.5,3597,11.53,7.07,1.66,81.75,18,4
3936,4188,2879,3747,2714,2827.1,120.7,34.8,129.3,3.9,-33.8,347.7,3429.6,10.99,9.95,3.72,59.5,19.6,3
3905,3936,2812,3836,2674,2688.7,116.5,34.9,193.1,26.2,-26.7,349.4,3382.1,6.37,6.25,1.98,56.38,19.1,-0.5
4297,3905,2972,4073,2800,3062.9,122.3,35.9,73.4,12.2,75.5,330,3712.1,8.19,10.47,2.79,59.5,15.3,-0.7
4197,4297,2891,4044,2740,2900.1,106.2,38.4,194,4.6,-1,364.5,3606.8,8.39,2.36,1.57,86.25,15.8,3.2
4378,4197,2996,4031,2795,3086,113.6,38.4,45.3,12,-3.7,414.6,3706.1,10.98,6.45,2.38,75.63,17.8,3.6
3991,4378,2947,3796,2751,2792.7,115.7,38.4,132.4,22.6,6.1,359.9,3467.8,8.6,3.5,1.96,73.25,21.1,3.7
4285,3991,2899,4058,2722,3104.7,110.5,37.8,43.5,9.1,3.3,356.2,3665,9.9,10.21,2.46,64.88,14.5,3.9
3894,4285,2982,3749,2768,2732.1,112.2,33.3,194.5,14.4,-5.6,357,3437.9,7.64,4.1,2.01,73.25,12.6,3.4
4360,3894,2947,4064,2770,2958.7,130,33.2,166.4,8.2,-2.3,367.7,3661.9,6.84,10.39,3.09,60.13,12.8,-0.4
4237,4360,3078,4130,2832,2903,123.2,31.5,187.6,20.3,13.7,379.1,3658.5,5.23,7.82,1.68,61.5,14.4,-2
4437,4237,3171,4161,2911,3118.5,126.4,31.9,113.1,10,2.3,385.5,3787.6,7.49,3.18,1.81,72.75,14,1.6
4392,4437,3180,3933,2867,3027.6,127.8,31.5,70.2,8.2,38.9,382.3,3686.4,8.23,9.7,3.95,67.63,13,0.3
